horodatage;evenement;id;titre;prix;prix_avant;km;annee;batterie_soh;ville;departement;url
2026-08-27T04:29:19;nouvelle;autoscout24:35ea2eb4-88ff-4ef1-8d85-c639d2723332;Megane E-Tech Electric EV60 220ch Iconic super charge -B;23999;;87377;2023;;Longuenesse;62;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-iconic-super-charge-b-electrique-cat_ma60mo1965-35ea2eb4-88ff-4ef1-8d85-c639d2723332
2026-08-27T04:29:19;nouvelle;autoscout24:38c48a32-3d3f-433b-91cc-06ab36f269c4;Megane E-Tech Electric EV60 220ch Techno super charge;26999;;30001;2023;;Roncq;59;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-techno-super-charge-electrique-cat_ma60mo1965-38c48a32-3d3f-433b-91cc-06ab36f269c4
2026-08-27T04:29:19;nouvelle;autoscout24:3c3a52bc-3ebd-4d50-977e-8a664dabac23;Megane E-Tech Electric EV60 220ch Equilibre super charge;23990;;55818;2023;;Cormontreuil;51;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-equilibre-super-charge-electrique-cat_ma60mo1965-3c3a52bc-3ebd-4d50-977e-8a664dabac23
2026-08-27T04:29:19;nouvelle;autoscout24:3cf88da1-09e7-4dc5-b754-2ccfe86e6627;Megane E-Tech Electric EV60 220ch Techno super charge -C;27299;;22847;2023;;BUHL-LORRAINE;57;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-techno-super-charge-c-electrique-cat_ma60mo1965-3cf88da1-09e7-4dc5-b754-2ccfe86e6627
2026-08-27T04:29:19;nouvelle;autoscout24:3d382e49-c4d6-4537-bc05-8b7f71ad06d7;Megane E-Tech Electric EV60 220ch Iconic super charge -C;25999;;66100;2023;;Troyes;10;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-iconic-super-charge-c-electrique-cat_ma60mo1965-3d382e49-c4d6-4537-bc05-8b7f71ad06d7
2026-08-27T04:29:19;nouvelle;autoscout24:3e62619b-7ca2-45fc-8377-bc4a00d15e52;Megane E-Tech Electric EV60 220ch Equilibre super charge -B;22499;;50166;2023;;SALON-DE-PROVENCE;13;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-equilibre-super-charge-b-electrique-cat_ma60mo1965-3e62619b-7ca2-45fc-8377-bc4a00d15e52
2026-08-27T04:29:19;nouvelle;autoscout24:3efe4cd8-0764-4d61-bbbb-4c208c739855;Megane E-Tech Electric EV60 220ch Techno super charge -C;28499;;11603;2023;;Dunkerque;59;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-techno-super-charge-c-electrique-cat_ma60mo1965-3efe4cd8-0764-4d61-bbbb-4c208c739855
2026-08-27T04:29:19;nouvelle;autoscout24:41ba558e-3dd8-42d1-851f-d8cc26d7db81;Megane E-Tech Electric EV60 220ch Techno super charge;26999;;39432;2023;;Troyes;10;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-techno-super-charge-electrique-cat_ma60mo1965-41ba558e-3dd8-42d1-851f-d8cc26d7db81
2026-08-27T04:29:19;nouvelle;autoscout24:432d4e01-160c-4d97-a911-4b759fa73fec;Megane E-Tech Electric EV60 220ch Iconic super charge;26499;;57479;2023;;SAINT AVOLD;57;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-iconic-super-charge-electrique-cat_ma60mo1965-432d4e01-160c-4d97-a911-4b759fa73fec
2026-08-27T04:29:19;nouvelle;autoscout24:46a15532-cdb5-4ad4-b6e9-06532b80af8c;Megane E-Tech Electric EV60 220ch Techno super charge;24999;;38500;2023;;BUHL-LORRAINE;57;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-techno-super-charge-electrique-cat_ma60mo1965-46a15532-cdb5-4ad4-b6e9-06532b80af8c
